photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN0309,169,4,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,276.721,11,0,0,0,0,,Monica
DSCN0310,169,5,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,211.103,10,0,0,0,0,,Monica
DSCN0311,169,6,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,306.085,11,0,0,0,0,,Monica
DSCN0312,169,7,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,551.562,19,0,0,0,0,,Monica
DSCN0299,170,1,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,NA,NA,NA,NA,NA,NA,,Monica
DSCN0300,170,2,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,224.6,8,0,0,0,0,,Monica
DSCN0301,170,3,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,229.419,6,0,0,0,0,,Monica
DSCN0302,170,4,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,274.958,8,0,0,0,0,,Monica
DSCN0303,170,5,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,327.034,8,0,0,0,0,,Monica
DSCN0304,170,6,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,245.618,7,0,0,0,0,,Monica
DSCN0305,170,7,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,403.998,10,0,0,0,0,,Monica
DSCN0277,171,1,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,240.473,10,0,0,0,0,,Monica
DSCN0278,171,2,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,224.538,10,0,0,1,0,,Monica
DSCN0279,171,3,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,221.29,10,1,0,0,0,,Monica
DSCN0280,171,4,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,265.921,8,0,0,0,0,,Monica
DSCN0281,171,5,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,293.914,9,0,0,0,0,,Monica
DSCN0282,171,6,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,260.854,10,0,0,0,0,,Monica
DSCN0284,171,7,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,510.228,13,0,0,1,0,,Monica
DSCN0270,172,1,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,237.756,9,0,0,0,0,,Monica
DSCN0271,172,2,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,262.635,10,0,0,0,0,,Monica
DSCN0272,172,3,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,218.646,11,0,0,2,0,,Monica
DSCN0273,172,4,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,307.968,10,0,0,0,0,,Monica
DSCN0274,172,5,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,263.42,10,0,0,0,0,,Monica
DSCN0275,172,6,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,394.237,11,0,0,0,0,,Monica
DSCN0276,172,7,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,631.996,19,0,1,0,0,,Monica
DSCN0263,175,1,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,27.268,2,0,0,0,0,,Monica
DSCN0264,175,2,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,31.58,1,0,0,0,0,,Monica
DSCN0265,175,3,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,78.559,5,0,0,0,0,,Monica
DSCN0266,175,4,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,155.953,6,0,0,0,0,,Monica
DSCN0267,175,5,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,207.915,10,1,1,0,0,,Monica
DSCN0268,175,6,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,226.882,12,0,0,1,0,,Monica
DSCN0269,175,7,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,233.883,10,2,0,0,0,,Monica
DSCN0650,169,1,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,361.69,11,0,0,0,0,,Monica
DSCN0651,169,2,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,261.247,9,0,0,1,0,,Monica
