photo.code,str.code,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN3778,396,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,322.059,13,0,0,0,1,,Priscilla
DSCN3780,385,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,261.603,24,0,2,0,5,,Mack
DSCN3782,378,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,427.466,28,0,0,0,0,NA,Emma
DSCN3784,397,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-1,2173.9,23,0,6,1,2,,Louanne
DSCN3786,375,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,195.286,19,0,0,0,0,NA,Emma
DSCN3790,394,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,400.418,24,0,0,0,3,,Priscilla
DSCN3792,379,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,202.178,25,1,0,0,0,NA,Emma
DSCN3794,150,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,541.578,15,0,0,3,0,NA,Emma
DSCN3796,130,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,234.717,22,0,0,0,0,,Saul
DSCN3796,130,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,234.717,22,0,0,0,0,,Sa̼l
DSCN3804,60,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,462.636,24,0,0,0,0,,Priscilla
DSCN3806,66,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,362.99,27,0,0,1,0,,Priscilla
DSCN3808,139,Playa Blanca,NA,arana pequena,NA,NA,4,2023,23-Apr,524.276,14,0,0,0,0,,Jorge
DSCN3810,58,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,381.448,12,0,0,3,1,,Priscilla
DSCN3812,149,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,551.04,22,0,0,2,0,NA,Emma
DSCN3814,72,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,502.88,22,0,0,0,0,,Daniela
DSCN3816,140,Playa Blanca,NA,arana pequena,NA,NA,4,2023,23-Apr,425.17,21,0,0,0,0,,Jorge
DSCN3818,81,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,508.443,24,0,0,0,2,"Foto cortada,",Paula
DSCN3820,121,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,436.592,21,0,0,0,2,,Saul
DSCN3820,121,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,436.592,21,0,0,0,2,,Sa̼l
DSCN3822,154,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,651.557,18,0,0,0,0,NA,Emma
DSCN3824,68,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,271.45,26,0,0,0,0,,Daniela
DSCN3826,127,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,486.201,21,0,0,1,0,,Saul
DSCN3826,127,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,486.201,21,0,0,1,0,,Sa̼l
DSCN3829,108,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,NA,NA,NA,NA,NA,NA,Etiqueta,Paula
DSCN3830,108,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,921.554,23,0,3,0,0,,Paula
DSCN3832,151,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-24,726.338,21,1,0,2,0,NA,Emma
DSCN3834,148,Playa Blanca,NA,arana pequena,NA,NA,4,2023,23-Apr,603.666,18,0,0,0,0,,Jorge
DSCN3836,138,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,538.621,17,0,0,2,0,,Saul
