photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN0779,11,0,Playa Blanca,,arana,,,4,2021,abr-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN0780,11,1,Playa Blanca,,arana,,,4,2021,abr-24,133.835,4,0,3,0,0,,Maricruz
DSCN0781,11,2,Playa Blanca,,arana,,,4,2021,abr-24,147.996,4,0,2,1,0,,Maricruz
DSCN0782,11,3,Playa Blanca,,arana,,,4,2021,abr-24,136.245,3,0,1,1,0,,Maricruz
DSCN0783,11,4,Playa Blanca,,arana,,,4,2021,abr-24,115.204,4,0,2,1,0,,Maricruz
DSCN0784,11,5,Playa Blanca,,arana,,,4,2021,abr-24,187.013,5,0,1,0,0,,Maricruz
DSCN0785,11,6,Playa Blanca,,arana,,,4,2021,abr-24,127.399,4,0,1,2,0,,Maricruz
DSCN0786,11,7,Playa Blanca,,arana,,,4,2021,abr-24,234.884,6,0,1,2,0,La mayoria de corales estaban hacia abajo,Maricruz
DSCN0755,12,0,Playa Blanca,,arana,,,4,2021,abr-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN0756,12,1,Playa Blanca,,arana,,,4,2021,abr-24,191.990,5,0,1,0,0,,Maricruz
DSCN0757,12,2,Playa Blanca,,arana,,,4,2021,abr-24,193.572,5,0,0,0,0,,Maricruz
DSCN0758,12,3,Playa Blanca,,arana,,,4,2021,abr-24,59.894,4,0,0,1,0,,Maricruz
DSCN0759,12,4,Playa Blanca,,arana,,,4,2021,abr-24,59.220,6,0,1,1,0,,Maricruz
DSCN0760,12,5,Playa Blanca,,arana,,,4,2021,abr-24,38.476,4,0,0,3,0,,Maricruz
DSCN0761,12,6,Playa Blanca,,arana,,,4,2021,abr-24,55.953,4,0,2,1,0,,Maricruz
DSCN0762,12,7,Playa Blanca,,arana,,,4,2021,abr-24,294.352,14,0,1,4,0,,Maricruz
DSCN0746,13,0,Playa Blanca,,arana,,,4,2021,abr-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN0747,13,1,Playa Blanca,,arana,,,4,2021,abr-24,139.567,5,0,0,0,0,,Maricruz
DSCN0748,13,2,Playa Blanca,,arana,,,4,2021,abr-24,90.640,6,0,1,2,0,,Maricruz
DSCN0749,13,3,Playa Blanca,,arana,,,4,2021,abr-24,181.765,7,0,0,1,0,,Maricruz
DSCN0750,13,4,Playa Blanca,,arana,,,4,2021,abr-24,160.586,7,0,0,1,0,,Maricruz
DSCN0751,13,5,Playa Blanca,,arana,,,4,2021,abr-24,52.654,3,0,1,2,0,,Maricruz
DSCN0752,13,6,Playa Blanca,,arana,,,4,2021,abr-24,51.400,2,0,0,2,0,,Maricruz
DSCN0754,13,7,Playa Blanca,,arana,,,4,2021,abr-24,416.247,16,0,0,2,0,,Maricruz
DSCN0738,14,0,Playa Blanca,,arana,,,4,2021,abr-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN0739,14,1,Playa Blanca,,arana,,,4,2021,abr-24,104.089,3,0,0,4,0,,Maricruz
DSCN0740,14,2,Playa Blanca,,arana,,,4,2021,abr-24,67.711,4,0,0,3,0,,Maricruz
DSCN0741,14,3,Playa Blanca,,arana,,,4,2021,abr-24,55.934,3,0,1,3,0,No estoy segura si el de la parte inferior izquierda presenta muerte parcial,Maricruz
DSCN0742,14,4,Playa Blanca,,arana,,,4,2021,abr-24,124.106,5,0,0,1,0,,Maricruz
DSCN0743,14,5,Playa Blanca,,arana,,,4,2021,abr-24,99.531,4,0,0,2,0,,Maricruz
DSCN0744,14,6,Playa Blanca,,arana,,,4,2021,abr-24,109.146,4,0,0,1,0,,Maricruz
DSCN0745,14,7,Playa Blanca,,arana,,,4,2021,abr-24,300.178,13,0,0,6,0,,Maricruz
DSCN0714,15,0,Playa Blanca,,arana,,,4,2021,abr-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN0715,15,1,Playa Blanca,,arana,,,4,2021,abr-24,72.301,6,0,0,3,0,,Maricruz
DSCN0716,15,2,Playa Blanca,,arana,,,4,2021,abr-24,85.857,7,0,1,1,0,,Maricruz
DSCN0717,15,3,Playa Blanca,,arana,,,4,2021,abr-24,40.068,3,0,2,3,0,,Maricruz
DSCN0718,15,4,Playa Blanca,,arana,,,4,2021,abr-24,108.685,5,0,2,1,0,,Maricruz
DSCN0719,15,5,Playa Blanca,,arana,,,4,2021,abr-24,22.377,1,0,0,7,0,,Maricruz
DSCN0720,15,6,Playa Blanca,,arana,,,4,2021,abr-24,133.307,5,0,1,0,0,,Maricruz
DSCN0721,15,7,Playa Blanca,,arana,,,4,2021,abr-24,122.211,6,1,1,6,0,,Maricruz
DSCN1392,11,0,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN1393,11,1,Playa Blanca,,arana,,,5,2021,may-24,171.352,4,0,0,0,0,,Maricruz
DSCN1394,11,2,Playa Blanca,,arana,,,5,2021,may-24,180.735,4,0,0,0,0,,Maricruz
DSCN1395,11,3,Playa Blanca,,arana,,,5,2021,may-24,128.480,3,0,0,1,0,,Maricruz
DSCN1396,11,4,Playa Blanca,,arana,,,5,2021,may-24,171.922,5,0,1,0,0,,Maricruz
DSCN1397,11,5,Playa Blanca,,arana,,,5,2021,may-24,184.888,5,0,0,0,0,,Maricruz
DSCN1398,11,6,Playa Blanca,,arana,,,5,2021,may-24,137.188,4,0,0,2,0,,Maricruz
DSCN1399,11,7,Playa Blanca,,arana,,,5,2021,may-24,204.096,7,1,0,4,0,,Maricruz
DSCN1450,12,0,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN1452,12,1,Playa Blanca,,arana,,,5,2021,may-24,204.960,5,0,0,0,0,,Maricruz
DSCN1455,12,2,Playa Blanca,,arana,,,5,2021,may-24,150.214,5,0,1,0,0,No sé si el de la izquierda abajo presenta muerte parcial,Maricruz
DSCN1456,12,3,Playa Blanca,,arana,,,5,2021,may-24,70.943,4,0,0,1,0,,Maricruz
DSCN1457,12,4,Playa Blanca,,arana,,,5,2021,may-24,77.930,6,0,0,0,0,,Maricruz
DSCN1458,12,5,Playa Blanca,,arana,,,5,2021,may-24,43.062,4,1,0,2,0,,Maricruz
DSCN1459,12,6,Playa Blanca,,arana,,,5,2021,may-24,88.703,4,0,1,2,0,,Maricruz
DSCN1460,12,7,Playa Blanca,,arana,,,5,2021,may-24,443.471,13,0,0,6,0,,Maricruz
DSCN1525,13,0,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN1526,13,1,Playa Blanca,,arana,,,5,2021,may-24,189.939,8,0,0,0,0,,Maricruz
DSCN1527,13,2,Playa Blanca,,arana,,,5,2021,may-24,100.592,4,0,1,2,0,,Maricruz
DSCN1528,13,3,Playa Blanca,,arana,,,5,2021,may-24,253.557,7,0,1,1,0,,Maricruz
DSCN1529,13,4,Playa Blanca,,arana,,,5,2021,may-24,195.147,7,0,0,0,0,,Maricruz
DSCN1530,13,5,Playa Blanca,,arana,,,5,2021,may-24,70.973,3,0,0,1,0,,Maricruz
DSCN1531,13,6,Playa Blanca,,arana,,,5,2021,may-24,38.010,1,0,0,2,0,,Maricruz
DSCN1532,13,7,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Replica de DSCN1533,Maricruz
DSCN1533,13,7,Playa Blanca,,arana,,,5,2021,may-24,578.557,20,0,0,1,0,,Maricruz
DSCN1490,14,0,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN1491,14,1,Playa Blanca,,arana,,,5,2021,may-24,102.917,3,0,0,4,0,,Maricruz
DSCN1492,14,2,Playa Blanca,,arana,,,5,2021,may-24,108.273,6,0,1,1,0,,Maricruz
DSCN1493,14,2,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Replica de DSCN1492,Maricruz
DSCN1494,14,3,Playa Blanca,,arana,,,5,2021,may-24,55.866,2,0,0,5,0,,Maricruz
DSCN1495,14,4,Playa Blanca,,arana,,,5,2021,may-24,140.552,6,0,1,1,0,,Maricruz
DSCN1496,14,5,Playa Blanca,,arana,,,5,2021,may-24,132.172,4,0,0,2,0,,Maricruz
DSCN1497,14,6,Playa Blanca,,arana,,,5,2021,may-24,148.235,4,0,0,1,0,,Maricruz
DSCN1498,14,7,Playa Blanca,,arana,,,5,2021,may-24,342.209,12,0,1,8,0,,Maricruz
DSCN1534,15,0,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN1537,15,1,Playa Blanca,,arana,,,5,2021,may-24,80.058,6,0,1,4,0,,Maricruz
DSCN1538,15,2,Playa Blanca,,arana,,,5,2021,may-24,109.016,7,0,0,1,0,,Maricruz
DSCN1539,15,3,Playa Blanca,,arana,,,5,2021,may-24,40.507,3,0,0,3,0,,Maricruz
