photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN3196,76,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,756.946,5,0,0,0,0,,Monica
DSCN3197,76,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,435.994,5,0,0,0,1,,Monica
DSCN3150,77,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,432.669,5,0,0,0,0,,Monica
DSCN3151,77,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,601.647,7,0,0,0,0,,Monica
DSCN3152,77,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,696.699,6,0,0,0,0,,Monica
DSCN3153,77,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,503.481,4,0,0,0,0,,Monica
DSCN3154,77,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,408.631,4,0,0,0,1,,Monica
DSCN3155,77,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,224.137,3,0,0,0,0,,Monica
DSCN3156,77,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,810.745,9,0,0,0,0,,Monica
DSCN3183,87,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,437.655,4,0,0,0,0,,Monica
DSCN3184,87,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,636.466,5,0,0,0,0,,Monica
DSCN3185,87,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,541.363,5,0,0,0,0,,Monica
DSCN3186,87,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,431.415,4,0,0,0,0,,Monica
DSCN3187,87,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,752.658,6,0,0,0,0,,Monica
DSCN3188,87,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,577.784,4,0,0,0,0,,Monica
DSCN3189,87,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,1105.572,7,0,0,0,0,,Monica
DSCN3200,88,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,403.729,5,0,0,0,0,,Monica
DSCN3201,88,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,462.415,6,0,0,0,0,,Monica
DSCN3202,88,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,427.456,6,0,0,0,0,,Monica
DSCN3203,88,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,346.698,6,0,0,0,0,,Monica
DSCN3204,88,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,483.388,5,0,0,0,0,,Monica
DSCN3205,88,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,296.553,5,0,1,0,0,,Monica
DSCN3206,88,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,585.126,10,0,0,0,0,,Monica
P5240041,169,1,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,958.273,11,0,3,0,0,,Monica
P5240042,169,2,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,984.618,9,1,0,0,0,,Monica
P5240043,169,3,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1349.599,11,0,0,0,0,,Monica
P5240044,169,4,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1183.136,12,0,0,0,0,,Monica
P5240045,169,5,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,998.268,10,0,0,0,0,,Monica
P5240046,169,6,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,837.852,10,1,0,0,0,,Monica
P5240048,169,7,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,2016.507,19,0,0,0,0,,Monica
P5240069,170,1,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,NA,NA,NA,NA,NA,NA,,Monica
