"photo.code","site","origin","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","structure_fixed","face","data_entry_person","date"
"DSCN0739","Playa Blanca","Jicaro","4","2021",104.089,3,0,0,4,0,"14","14","1","Digitador_8",2021-04-01
"DSCN0740","Playa Blanca","Jicaro","4","2021",67.711,4,0,0,3,0,"14","14","2","Digitador_8",2021-04-01
"DSCN0741","Playa Blanca","Jicaro","4","2021",55.934,3,0,1,3,0,"14","14","3","Digitador_8",2021-04-01
"DSCN0742","Playa Blanca","Jicaro","4","2021",124.106,5,0,0,1,0,"14","14","4","Digitador_8",2021-04-01
"DSCN0743","Playa Blanca","Jicaro","4","2021",99.531,4,0,0,2,0,"14","14","5","Digitador_8",2021-04-01
"DSCN0744","Playa Blanca","Jicaro","4","2021",109.146,4,0,0,1,0,"14","14","6","Digitador_8",2021-04-01
"DSCN0745","Playa Blanca","Jicaro","4","2021",300.178,13,0,0,6,0,"14","14","7","Digitador_8",2021-04-01
"DSCN0739","Playa Blanca","Jicaro","4","2021",72.301,6,0,0,3,0,"15","15","1","Digitador_8",2021-04-01
"DSCN0740","Playa Blanca","Jicaro","4","2021",85.857,7,0,1,1,0,"15","15","2","Digitador_8",2021-04-01
"DSCN0741","Playa Blanca","Jicaro","4","2021",40.068,3,0,2,3,0,"15","15","3","Digitador_8",2021-04-01
"DSCN0742","Playa Blanca","Jicaro","4","2021",108.685,5,0,2,1,0,"15","15","4","Digitador_8",2021-04-01
"DSCN0743","Playa Blanca","Jicaro","4","2021",22.377,1,0,0,7,0,"15","15","5","Digitador_8",2021-04-01
"DSCN0744","Playa Blanca","Jicaro","4","2021",133.307,5,0,1,0,0,"15","15","6","Digitador_8",2021-04-01
"DSCN0745","Playa Blanca","Jicaro","4","2021",122.211,6,1,1,6,0,"15","15","7","Digitador_8",2021-04-01
"DSCN1393","Playa Blanca","Jicaro","5","2021",171.352,4,0,0,0,0,"11","11","1","Digitador_8",2021-05-01
"DSCN1394","Playa Blanca","Jicaro","5","2021",180.735,4,0,0,0,0,"11","11","2","Digitador_8",2021-05-01
"DSCN1395","Playa Blanca","Jicaro","5","2021",128.48,3,0,0,1,0,"11","11","3","Digitador_8",2021-05-01
"DSCN1396","Playa Blanca","Jicaro","5","2021",171.922,5,0,1,0,0,"11","11","4","Digitador_8",2021-05-01
"DSCN1397","Playa Blanca","Jicaro","5","2021",184.888,5,0,0,0,0,"11","11","5","Digitador_8",2021-05-01
"DSCN1398","Playa Blanca","Jicaro","5","2021",137.188,4,0,0,2,0,"11","11","6","Digitador_8",2021-05-01
"DSCN1399","Playa Blanca","Jicaro","5","2021",204.096,7,1,0,4,0,"11","11","7","Digitador_8",2021-05-01
"DSCN1452","Playa Blanca","Jicaro","5","2021",204.96,5,0,0,0,0,"12","12","1","Digitador_8",2021-05-01
