photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,analizador
DSCN9181,93,3,Playa Pelonas,,arana,,,4,2022,abr-22,80.848,4,0,0,0,0,,Tania
DSCN9182,93,4,Playa Pelonas,,arana,,,4,2022,abr-22,80.579,5,0,0,1,0,,Tania
DSCN9183,93,5,Playa Pelonas,,arana,,,4,2022,abr-22,60.731,5,0,0,0,0,,Tania
DSCN9184,93,6,Playa Pelonas,,arana,,,4,2022,abr-22,27.304,3,0,0,0,0,,Tania
DSCN9185,93,7,Playa Pelonas,,arana,,,4,2022,abr-22,333.331,18,0,0,0,0,,Tania
DSCN9160,94,1,Playa Pelonas,,arana,,,4,2022,abr-22,33.518,2,0,0,0,0,,Tania
DSCN9161,94,2,Playa Pelonas,,arana,,,4,2022,abr-22,18.996,2,0,0,0,0,,Tania
DSCN9162,94,3,Playa Pelonas,,arana,,,4,2022,abr-22,38.289,3,0,0,0,0,,Tania
DSCN9163,94,4,Playa Pelonas,,arana,,,4,2022,abr-22,42.526,3,0,0,0,0,,Tania
DSCN9164,94,5,Playa Pelonas,,arana,,,4,2022,abr-22,43.252,4,0,0,0,0,,Tania
DSCN9165,94,6,Playa Pelonas,,arana,,,4,2022,abr-22,19.359,3,0,0,0,0,,Tania
DSCN9166,94,7,Playa Pelonas,,arana,,,4,2022,abr-22,77.967,3,0,0,0,0,,Tania
DSCN9822,91,1,Playa Pelonas,,arana,,,5,2022,22-May,30.224,3,0,0,2,0,,Tania
DSCN9823,91,2,Playa Pelonas,,arana,,,5,2022,22-May,26.763,5,0,0,0,0,,Tania
DSCN9824,91,3,Playa Pelonas,,arana,,,5,2022,22-May,20.923,2,0,0,0,0,,Tania
DSCN9825,91,4,Playa Pelonas,,arana,,,5,2022,22-May,50.283,4,0,0,1,0,,Tania
DSCN9826,91,5,Playa Pelonas,,arana,,,5,2022,22-May,32.307,3,0,0,0,0,,Tania
DSCN9827,91,6,Playa Pelonas,,arana,,,5,2022,22-May,24.477,2,1,0,0,0,,Tania
DSCN9828,91,7,Playa Pelonas,,arana,,,5,2022,22-May,319.056,10,0,1,1,0,,Tania
DSCN9772,92,1,Playa Pelonas,,arana,,,5,2022,22-May,160.656,8,0,0,0,0,,Tania
DSCN9773,92,2,Playa Pelonas,,arana,,,5,2022,22-May,121.522,8,0,0,0,0,,Tania
DSCN9774,92,3,Playa Pelonas,,arana,,,5,2022,22-May,121.436,7,0,0,0,0,,Tania
DSCN9775,92,4,Playa Pelonas,,arana,,,5,2022,22-May,106.919,6,0,0,0,0,,Tania
DSCN9776,92,5,Playa Pelonas,,arana,,,5,2022,22-May,106.517,6,0,0,0,0,,Tania
DSCN9777,92,6,Playa Pelonas,,arana,,,5,2022,22-May,104.801,6,0,0,0,0,,Tania
DSCN9778,92,7,Playa Pelonas,,arana,,,5,2022,22-May,498.138,14,0,0,0,0,,Tania
DSCN9830,93,1,Playa Pelonas,,arana,,,5,2022,22-May,70.63,6,0,0,0,0,,Tania
DSCN9831,93,2,Playa Pelonas,,arana,,,5,2022,22-May,61.46,6,0,0,0,0,,Tania
DSCN9832,93,3,Playa Pelonas,,arana,,,5,2022,22-May,43.083,3,0,0,0,0,,Tania
DSCN9833,93,4,Playa Pelonas,,arana,,,5,2022,22-May,83.464,5,0,0,1,0,,Tania
DSCN9834,93,5,Playa Pelonas,,arana,,,5,2022,22-May,52.839,3,0,0,0,0,,Tania
DSCN9835,93,6,Playa Pelonas,,arana,,,5,2022,22-May,47.123,3,0,0,0,0,,Tania
DSCN9836,93,7,Playa Pelonas,,arana,,,5,2022,22-May,377.216,16,0,0,0,0,,Tania
DSCN9780,94,1,Playa Pelonas,,arana,,,5,2022,22-May,44.238,2,0,0,0,0,,Tania
DSCN9781,94,2,Playa Pelonas,,arana,,,5,2022,22-May,33.884,4,0,0,0,0,,Tania
DSCN9782,94,3,Playa Pelonas,,arana,,,5,2022,22-May,38.021,3,0,0,0,0,,Tania
DSCN9783,94,4,Playa Pelonas,,arana,,,5,2022,22-May,28.845,3,0,0,0,0,,Tania
DSCN9784,94,5,Playa Pelonas,,arana,,,5,2022,22-May,38.437,3,0,0,0,0,,Tania
DSCN9785,94,6,Playa Pelonas,,arana,,,5,2022,22-May,5.755,1,0,0,0,0,,Tania
DSCN9786,94,7,Playa Pelonas,,arana,,,5,2022,22-May,35.543,1,0,0,0,0,,Tania
DSCN0486,91,1,Playa Pelonas,,arana,,,6,2022,22-Jun,43.71,3,0,0,3,0,,Tania
DSCN0487,91,2,Playa Pelonas,,arana,,,6,2022,22-Jun,14.995,2,1,0,2,0,,Tania
DSCN0488,91,3,Playa Pelonas,,arana,,,6,2022,22-Jun,39.024,3,0,0,0,0,,Tania
DSCN0489,91,4,Playa Pelonas,,arana,,,6,2022,22-Jun,48.04,3,0,0,0,0,,Tania
DSCN0490,91,5,Playa Pelonas,,arana,,,6,2022,22-Jun,19.694,1,0,0,0,0,,Tania
DSCN0491,91,6,Playa Pelonas,,arana,,,6,2022,22-Jun,70.682,7,0,0,0,0,,Tania
DSCN0492,91,7,Playa Pelonas,,arana,,,6,2022,22-Jun,461.159,9,0,0,0,0,,Tania
DSCN0461,92,1,Playa Pelonas,,arana,,,6,2022,22-Jun,158.792,7,0,0,0,0,,Tania
